"file","categoryname","price","mass","volume","description"
"neutron_gun","upgrades/Weapons/Mounted_Guns_Medium",5000,0.01,1,"@upgrades/neutron.png@<u/Guns>Neutron Gun: Bombard any atom with enough neutrons and you'll get a heavy, radioactive isotope that tends to spontaneously decay. Bombard a bunch of atoms with a bunch of neutrons and it will only be a question of time before you you can force entire ships and stations to spontaneously decay."
"particle_cannon","upgrades/Weapons/Mounted_Guns_Medium",10000,0.01,1,"@upgrades/particle.png@<u/Guns>The particle cannon fires bundles of hyper-accelerated particles at targets. This works better than it sounds, though not by much."
"ion","upgrades/Weapons/Mounted_Guns_Heavy",40000,0.01,1,"@upgrades/ion.png@<u/Guns>Anyone familiar with the laborious reaction equations of introductory chemistry should be able to appreciate the ion pulse cannon: it fires salvos of highly charged anions that strip molecules from the hull of their target, 
turning chunks of it into clouds of bonded, inert particles. Keep shooting and soon the whole target turns into clouds of space dust."
"plasma_gun","upgrades/Weapons/Mounted_Guns_Heavy",80000,0.01,1,"@upgrades/plasma.png@<u/Guns>Plasma guns use induced magnetic containment to fire globs of superheated plasma at enemies. No screwing around with exotic sub-atomic particles here: these weapons just burn and abrade their way through anything in your crosshair."
"tachyon_cannon","upgrades/Weapons/Mounted_Guns_Confed_Milspec",20000,0.01,1,"@upgrades/tachyon.png@<u/Guns>Tachyons have interesting properties, like negative mass, increasing energy at decreasing velocities, and a mathematically imaginary relationship to the passage of time. We shouldn't have to tell you that anything this weird doesn't react too well with the hull of spaceships."
"tractor_capability","upgrades/Weapons/Mount_Enhancements",50000,0.01,1,"@upgrades/tractor.png@<u/Miscellaneous>On ships where space is at a premium, there might not be a dedicated tractor mount available. Fortunately, this upgrade can alter any hardpoint so it is compatible with a tractor array."
"autotracking","upgrades/Weapons/Mount_Enhancements",100000,0.01,1,"@upgrades/gun_cooler.png@<u/Miscellaneous>While all mounted weapons support auto-tracking capabilities, these are not usually available through civilian mounts. A fully-powered military auto-tracker like this greatly enhances weapon accuracy."
"plasteel","upgrades/Armor",1000,0.01,1,"@upgrades/plasteel.png@<u/Hull_and_Armor>Protective equivalent: 10cm durasteel. Plasteel is the least expensive armor and protects one from the equivalent of four direct laser hits."
"tungsten","upgrades/Armor",1500,0.01,1,"@upgrades/tungsten.png@<u/Hull_and_Armor>Protective equivalent: 20 cm durasteel. Tungsten armor may cost a little more but can stop up to two torpedoes. Couriers in Potter Quadrant working for bureaucrats probably don't need this level of protection. On the other hand, those of a more dangerous occupation might appreciate the precious extra few seconds this might buy."
"basic_armor","upgrades/Armor_Modification",500,0.01,1,"<u/Hull_and_Armor>A basic armor fitted to all ships."
"plasteel_hull","upgrades/Hull",2000,10,0,"@upgrades/plasteel.png@<u/Hull_and_Armor>Plasteel is is a cheap and cost-effective solution for hull."
"tungsten_hull","upgrades/Hull",3000,10,0,"@upgrades/tungsten.png@<u/Hull_and_Armor>Dense, and with a high melting temperature, tungsten based hull is crude, but not ineffective."
"add_ablative_hull_coating","upgrades/Hull_Upgrades",12000,10,0,"@upgrades/isometal.png@<u/Hull_and_Armor>Specifically designed to disperse and dissipate heat, this special hull coating will reduce the damage done by energy based weapons or explosions. Also helps staying cool during atmospheric reentry."
"add_sublimative_hull_coating","upgrades/Hull_Upgrades",15000,15,1,"@upgrades/isometal.png@<u/Hull_and_Armor>Through the alignment of microscopic crystals inside the hull, it becomes possible to amplify and direct focused electromagnetic waves towards incoming matter in order to convert its kinetic energy into heat. This forces the incoming matter to sublimate while slowing down, allowing the ship to scoop up the resulting decelerated and therefore harmless gas."
"ecm_package_1","upgrades/ECM_Systems",5000,0.01,1,"@upgrades/ecm1.png@<u/ECM>Electronic CounterMeasures or ECM refers to a broad spectrum of techniques designed to defeat or spoof enemy sensors and communications. The basic version detects hostile objects and launches decoys to try and confuse it."
"ecm_package_2","upgrades/ECM_Systems",15000,0.01,1,"@upgrades/ecm2.png@<u/ECM>Electronic CounterMeasures or ECM refers to a broad spectrum of techniques designed to defeat or spoof enemy sensors and communications. This more advanced version adds specially tailored electromagnetic signals and pulses that aim to confuse sensors and disrupt guiding circuits."
"ecm_package_3","upgrades/ECM_Systems",30000,0.01,1,"@upgrades/ecm3.png@<u/ECM>Electronic CounterMeasures or ECM refers to a broad spectrum of techniques designed to defeat or spoof enemy sensors and communications. This very advanced version adds optical trickery, heat masking and projecting fake engine signatures away from the ship."
"repair_system","upgrades/Repair_Systems",10000,0.01,1,"@upgrades/repair_droid.png@<u/Repair_Systems>A distributed network of local damage control units, a repair system can isolate failing modules, minimize continuing damage and restore some failing functionality."
"repair_system_advanced","upgrades/Repair_Systems",20000,0.01,1,"@upgrades/advanced_repair_droid.png@<u/Repair_Systems>By increasing the redundancy of the repair system, more of the local nodes are more likely to survive damage to their area, and thus be of use in repairing it. "
"repair_droid","upgrades/Repair_Systems/Advanced",30000,0.01,1,"@upgrades/repair_droid.png@<u/Repair_Systems>A collaborating network of subunits that can do in-flight repairs."
"repair_droid_advanced","upgrades/Repair_Systems/Advanced",90000,0.01,1,"@upgrades/advanced_repair_droid.png@<u/Repair_Systems>Sturdy enough to do repairs during combat. Smart enough to remember not to wash the main computer."
"repair_ai","upgrades/Repair_Systems/Research",200000,0.01,1,"@upgrades/advanced_repair_droid.png@<u/Repair_Systems>Sometimes, prioritizing what gets repaired is as important as getting things repaired."
"repair_ai_advanced","upgrades/Repair_Systems/Research",300000,0.01,1,"@upgrades/advanced_repair_droid.png@<u/Repair_Systems>Similar to the normal repair ai, but with code optimizations and a better warranty."
"iris_mk1","upgrades/Radar/Basic",10000,0.01,1,"@upgrades/irismk1.png@<u/Sensors>Iris Systems has cornered the budget sensor market in Gemini, and their bottom-price sensors have a reputation for starting the careers of young pilots. Unfortunately, their sensors' lack of a working friend-or-foe ID system is a liability."
"iris_mk2","upgrades/Radar/Intermediate",30000,0.01,1,"@upgrades/irismk2.png@<u/Sensors>Iris Systems has cornered the budget sensor market in Gemini, and their bottom-price sensors have a reputation for starting the careers of young pilots. Unfortunately, their sensors' lack of a working friend-or-foe ID system is a liability. This intermediate model offers a longer tracking range."
"iris_mk3","upgrades/Radar/Advanced",60000,0.01,1,"@upgrades/irismk3.png@<u/Sensors>Iris Systems has cornered the budget sensor market in Gemini, and their bottom-price sensors have a reputation for starting the careers of young pilots. Unfortunately, their sensors' lack of a working friend-or-foe ID system is a liability. This advanced model offers an even longer tracking range and supports Intelligent Target Tracking System."
"hunter_aw_6","upgrades/Radar/Basic",30000,0.01,1,"@upgrades/hunteraw6.png@<u/Sensors>Hunter AW makes all sorts of bounty hunter equipment, and every last unit is a no-frills masterpiece of function. Hunter's sensors tell bounty hunters exactly what they need to know: who needs killing and who's just collateral damage."
"hunter_aw_6i","upgrades/Radar/Intermediate",50000,0.01,1,"@upgrades/hunteraw6i.png@<u/Sensors>Hunter AW makes all sorts of bounty hunter equipment, and every last unit is a no-frills masterpiece of function. Hunter's sensors tell bounty hunters exactly what they need to know: who needs killing and who's just collateral damage. This intermediate model offers a longer tracking range."
"hunter_aw_infinity","upgrades/Radar/Advanced",80000,0.01,1,"@upgrades/hunterawinfinity.png@<u/Sensors>Hunter AW makes all sorts of bounty hunter equipment, and every last unit is a no-frills masterpiece of function. Hunter's sensors tell bounty hunters exactly what they need to know: who needs killing and who's just collateral damage. This advanced model offers an even longer tracking range and supports Intelligent Target Tracking System."
"B_and_S_Tripwire","upgrades/Radar/Basic",40000,0.01,1,"@upgrades/bandstripwire.png@<u/Sensors>B&S has an excellent reputation as a refurbisher of obsolete military sensor equipment, and while it may be somewhat odious that the best sensors in Gemini are scrounged from rusting Confederation war relics, they are still the best models publicly available, featuring complete friend-or-foe recognition."
"B_and_S_EYE","upgrades/Radar/Intermediate",70000,0.01,1,"@upgrades/bandseye.png@<u/Sensors>B&S has an excellent reputation as a refurbisher of obsolete military sensor equipment, and while it may be somewhat odious that the best sensors in Gemini are scrounged from rusting Confederation war relics, they are still the best models publicly available, featuring complete friend-or-foe recognition. This intermediate model offers a longer tracking range."
"B_and_S_Omni","upgrades/Radar/Advanced",100000,0.01,1,"@upgrades/bandsomni.png@<u/Sensors>B&S has an excellent reputation as a refurbisher of obsolete military sensor equipment, and while it may be somewhat odious that the best sensors in Gemini are scrounged from rusting Confederation war relics, they are still the best models publicly available, featuring complete friend-or-foe recognition. This advanced model offers an even longer tracking range and supports Intelligent Target Tracking System."
"jump_drive","upgrades/Miscellaneous",10000,0.01,1,"@upgrades/jumpdrive.png@<u/Miscellaneous>This is undoubtedly one of your most important and expensive purchases. Unfortunately one manufacturer essentially has a monopoly on jump drives (A common problem with many frontier products).  The jump drive is your ticket to interstellar space."
"dumbfire_ammo","upgrades/Ammunition",20,0.01,1,"@upgrades/dumbfire.png@<u/Munitions>Cheap and easily mass-produced, dumbfire missiles offer the most bang for your buck. They are a common sight in the backwaters, where natural talent and eye-hand coordination makes up for the scarcity of missile guidance components."
"proton_torpedo_ammo","upgrades/Ammunition",15,0.01,1,"@upgrades/proton_torpedo.png@<u/Munitions>Gemini's proton torpedoes have about as much in common with confederation-issue ship killers as a Clydesdale has with a Kamekh. These are potent, unidirectional bombs: no time-consuming target lock required."
"heatseeker_ammo","upgrades/Ammunition",35,0.01,1,"@upgrades/heat_seeker.png@<u/Munitions>Heat seekers have a simple tracking mechanism. Insofar as it makes for quick missile locks and leaves more space for payload, this is good, but the same crude design makes the HS missile easy to divert."
"image_recognition_ammo","upgrades/Ammunition",75,0.01,1,"@upgrades/image_recognition.png@<u/Munitions>IR missiles are very effective, but they lock onto their targets by structural design, and for this reason you must take care when targeting ships employed by many factions."
"friend_or_foe_ammo","upgrades/Ammunition",100,0.01,1,"@upgrades/friend_or_foe.png@<u/Munitions>As long as your targeting ID system is working properly, the friend or foe missile is a deadly weapon. Though pilots early in their exploits may balk at the prices, veteran dogfighters will attest to the value of these highly effective fire-and-forget type missiles."
"medium_turret_laser","upgrades/Weapons/Turrets",19500,0.1,1,"@upgrades/turret_medium.png@<u/Turrets>Equipped with two lasers and a tractor beam.  It turns, it shoots, it slices. No, it does not dice, but it does come with a free fuzzy pair."
"medium_turret_missile","upgrades/Weapons/Turrets",19500,0.1,1,"@upgrades/turret_medium.png@<u/Turrets>Equipped with two missile launchers.  It turns, it shoots, it slices. No, it does not dice, but it does come with a free fuzzy pair."
"medium_turret_massdriver","upgrades/Weapons/Turrets",20500,0.1,1,"@upgrades/turret_medium.png@<u/Turrets>Equipped with two mass drivers and a tractor beam.  It turns, it shoots, it slices. No, it does not dice, but it does come with a free fuzzy pair."
"medium_turret_meson","upgrades/Weapons/Turrets",22500,0.1,1,"@upgrades/turret_medium.png@<u/Turrets>Equipped with two meson blasters and a tractor beam.  It turns, it shoots, it slices. No, it does not dice, but it does come with a free fuzzy pair."
"medium_turret_neutron","upgrades/Weapons/Turrets",27500,0.1,1,"@upgrades/turret_medium.png@<u/Turrets>Equipped with two neutron guns and a tractor beam.  It turns, it shoots, it slices. No, it does not dice, but it does come with a free fuzzy pair."
"medium_turret_particle","upgrades/Weapons/Turrets",37500,0.1,1,"@upgrades/turret_medium.png@<u/Turrets>Equipped with two particle cannons and a tractor beam.  It turns, it shoots, it slices. No, it does not dice, but it does come with a free fuzzy pair."
"medium_turret_ion","upgrades/Weapons/Turrets",97500,0.1,1,"@upgrades/turret_medium.png@<u/Turrets>Equipped with two ion pulse cannons and a tractor beam.  It turns, it shoots, it slices. No, it does not dice, but it does come with a free fuzzy pair."
"medium_turret_plasma","upgrades/Weapons/Turrets",177500,0.1,1,"@upgrades/turret_medium.png@<u/Turrets>Equipped with two plasma guns and a tractor beam.  It turns, it shoots, it slices. No, it does not dice, but it does come with a free fuzzy pair."
"medium_turret_tachyon","upgrades/Weapons/Turrets",57500,0.1,1,"@upgrades/turret_medium.png@<u/Turrets>Equipped with two tachyon cannons and a tractor beam.  It turns, it shoots, it slices. No, it does not dice, but it does come with a free fuzzy pair."
"medium_turret_rear_laser","upgrades/Weapons/Turrets",19500,0.1,1,"@upgrades/turret_rear.png@<u/Turrets>Equipped with two lasers and a tractor beam.  It turns, it shoots, it slices. No, it does not dice, but it does come with a free fuzzy pair. Perfect for the back of your ship."
"medium_turret_rear_massdriver","upgrades/Weapons/Turrets",20500,0.1,1,"@upgrades/turret_rear.png@<u/Turrets>Equipped with two mass drivers and a tractor beam.  It turns, it shoots, it slices. No, it does not dice, but it does come with a free fuzzy pair. Perfect for the back of your ship."
"medium_turret_rear_meson","upgrades/Weapons/Turrets",22500,0.1,1,"@upgrades/turret_rear.png@<u/Turrets>Equipped with two meson guns and a tractor beam.  It turns, it shoots, it slices. No, it does not dice, but it does come with a free fuzzy pair. Perfect for the back of your ship."
"medium_turret_rear_neutron","upgrades/Weapons/Turrets",27500,0.1,1,"@upgrades/turret_rear.png@<u/Turrets>Equipped with two neutron guns and a tractor beam.  It turns, it shoots, it slices. No, it does not dice, but it does come with a free fuzzy pair. Perfect for the back of your ship."
"medium_turret_rear_particle","upgrades/Weapons/Turrets",37500,0.1,1,"@upgrades/turret_rear.png@<u/Turrets>Equipped with two particle cannons and a tractor beam.  It turns, it shoots, it slices. No, it does not dice, but it does come with a free fuzzy pair. Perfect for the back of your ship."
"medium_turret_rear_ion","upgrades/Weapons/Turrets",57500,0.1,1,"@upgrades/turret_rear.png@<u/Turrets>Equipped with two ion pulse cannons and a tractor beam.  It turns, it shoots, it slices. No, it does not dice, but it does come with a free fuzzy pair. Perfect for the back of your ship."
"medium_turret_rear_plasma","upgrades/Weapons/Turrets",177500,0.1,1,"@upgrades/turret_rear.png@<u/Turrets>Equipped with two plasma cannons and a tractor beam.  It turns, it shoots, it slices. No, it does not dice, but it does come with a free fuzzy pair. Perfect for the back of your ship."
"medium_turret_rear_tachyon","upgrades/Weapons/Turrets",57500,0.1,1,"@upgrades/turret_rear.png@<u/Turrets>Equipped with two tachyon cannons and a tractor beam.  It turns, it shoots, it slices. No, it does not dice, but it does come with a free fuzzy pair. Perfect for the back of your ship."
"small_turret_neutron","upgrades/Weapons/Turrets",27500,0.1,1,"@upgrades/turret_medium.png@<u/Turrets>Equipped with two neutron guns and a tractor beam.  It turns, it shoots, it slices. No, it does not dice, but it does come with a free fuzzy pair."
"First_Class_Passenger","Passengers",100,0.01,20,"@cargo/cargo-hud.png@<Human_Cargo>If you are taking first class passengers around, they had better have all the amenities one expects."
"Business_Class_Passenger","Passengers",75,0.01,10,"@cargo/cargo-hud.png@<Human_Cargo>With a laptop and a wide rear, the business class passenger enjoys some of the room of the first class passenger."
"Frozen_Colonist","Passengers/Economy",50,1,3,"@cargo/cargo-hud.png@<Human_Cargo>Polite, space-efficient, doesn't try to back-seat pilot, doesn't care how long it takes to get there. Unfortunately, being technically, if only temporarily, deceased - not much for conversation."
"Hitchhiker","Passengers/Economy",42,0.4,6,"@cargo/cargo-hud.png@<Human_Cargo>Always brings a towel of his/her own."
"Grain","Grain",13,0.01,1,"@cargo/grain.png@<Food>The edible grass seeds, grains, and the carbohydrates garnered from them, are a pillar of an omnivorous diet. When fermented properly, they become the pillars of a liquid diet."
"Generic_Foods","Generic_Foods",20.5,0.01,1,"@cargo/generic-foods.png@<Food>Food! Glorious food! Hot TVP and Soymilk!"
"Luxury_Foods","Luxury_Foods",38,0.01,1,"@cargo/luxury-foods.png@<Food>Containing such rarities as actual game meat and imported specialty products, these bundles of luxury items are primarily purchased only by upscale hotels and restaurants."
"Furs","Furs",280.5,0.01,1,"@cargo/furs.png@<Luxury_Goods>Rare furs from nearly extinct beasts still garner a large profit from those willing to pay top dollar.  Fortunately with the onset of widespread test-tube cloning, nearly extinct does not equate to soon extinct any more."
"Liquor","Liquor",40.5,0.01,1,"@cargo/liquor.png@<Luxury_Goods>Beer! (It's what's for dinner.)"
"Pets","Pets",85.5,0.01,1,"@cargo/pets.png@<Luxury_Goods>Lesser species kept as entertainment, often against their will.  Occasionally bonds of affection develop between owner and pet."
"Wood","Wood",83,0.01,1,"@cargo/wood.png@<Raw_Materials>While wood is no longer as common a building material for structural aspects, it remains an aesthetic desired by many residents of paved industrial worlds."
"Gems","Gems",950.5,0.01,1,"@cargo/gems.png@<Luxury_Goods>Exceptionally hard, and useful for many industrial purposes, these carbon lattice crystals have long been loved for their gleaming appearance. Even though the differences are no longer perceptible between manufactured and natural diamond"
"small_asteroid0","Fragments",760,100,10,"@cargo/gems.png@<Ores>A chunk of asteroid. Can be mined for ore if further shot upon."
"small_asteroid1","Fragments",760,100,10,"@cargo/gems.png@<Ores>A chunk of asteroid. Can be mined for ore if further shot upon."
"small_asteroid2","Fragments",760,100,10,"@cargo/gems.png@<Ores>A chunk of asteroid. Can be mined for ore if further shot upon."
"small_asteroid3","Fragments",760,100,10,"@cargo/gems.png@<Ores>A chunk of asteroid. Can be mined for ore if further shot upon."
"small_asteroid4","Fragments",760,100,10,"@cargo/gems.png@<Ores>A chunk of asteroid. Can be mined for ore if further shot upon."
"small_asteroid5","Fragments",760,100,10,"@cargo/gems.png@<Ores>A chunk of asteroid. Can be mined for ore if further shot upon."
"small_asteroid6","Fragments",760,100,10,"@cargo/gems.png@<Ores>A chunk of asteroid. Can be mined for ore if further shot upon."
"small_asteroid7","Fragments",760,100,10,"@cargo/gems.png@<Ores>A chunk of asteroid. Can be mined for ore if further shot upon."
"iron_ore","Fragments",152,0.05,2,"@cargo/iron.png@<Ores>Iron has been vital in the histories of all of the spacefaring races. The prime variance is the ratio of cast iron cookware to iron and steel killingware."
"tungsten_ore","Fragments",312,0.05,2,"@cargo/tungsten.png@<Ores>Due to its exceptional melting temperature and continued tensile strength at high temperatures, tungsten is a vital part of the spacefaring industry."
"Iron","Iron",38,0.01,1,"@cargo/iron.png@<Raw_Materials>Iron has been vital in the histories of all of the spacefaring races. The prime variance is the ratio of cast iron cookware to iron and steel killingware."
"Tungsten","Tungsten",78,0.01,1,"@cargo/tungsten.png@<Raw_Materials>Due to its exceptional melting temperature and continued tensile strength at high temperatures, tungsten is a vital part of the spacefaring industry."
"Plutonium","Plutonium",975.5,0.01,1,"@cargo/plutonium.png@<Raw_Materials>A wonderful ingredient for glowing paints."
"Uranium","Uranium",450.5,0.01,1,"@cargo/uranium.png@<Raw_Materials>A rather common radioactive used primarily in fission piles. The depleted isotopes are used in kinetic impact weapons."
"Artwork","Artwork",90.5,0.01,1,"@cargo/artwork.png@<Luxury_Goods>Wonderfully handcrafted with near-forgotten techniques and wondrously copied with exceptionally well known ones. 'Dogs playing poker', 'Kilrathi plays it by trust', and replicas of mid 21st century CE Terran plastic food storage unit"
"Games","Games",18,0.01,1,"@cargo/games.png@<Luxury_Goods>Providing near endless possibility for gameplay and maximizing entertainment return, interactive computer games are a market fueled by the hard labors of underfunded dreamers. Despite their lack of fiscal resources they still manage to "
"Movies","Movies",18,0.01,1,"@cargo/movies.png@<Luxury_Goods>Mindless entertainment for the masses. Especially popular among those with no noticeable social life. This year's top seller on the Confederation frontier: 'Who's your Tomcat?: Interspecies Fantasies XXIV'."
"Advanced_Fuels","Advanced_Fuels",480.5,0.01,1,"@cargo/advanced-fuels.png@<Processed_Goods>Premium pro-clean fighter jet fuel."
"Communications","Communications",43,0.01,1,"@cargo/communications.png@<Processed_Goods>Getting a message through a jump wormhole requires specialized, precise electronics that need to be mounted on a fixed platform in space. Currently mobile craft cannot equip these wonders of information and communication theory."
"Computers","Computers",65.5,0.01,1,"@cargo/computers.png@<Microelectronics>Featuring massive parallelism and minute feature size, a top of the line number cruncher can analyze more useless facts about its user in a second than most users desire to know in a lifetime."
"Construction","Construction",85.5,0.01,1,"@cargo/mining-equipment.png@<Capital_Goods>The main driving force behind capitalistic economies, constant construction leaves in its wake a slowly accumulating mass of superfluous structures."
"Factory_Equipment","Factory_Equipment",85.5,0.01,1,"@cargo/factory-equipment.png@<Capital_Goods>Laser etching and autonomous 3d printing utilities help fabricate any number of consumer goods."
"Food_Dispensers","Food_Dispensers",85.5,0.01,1,"@cargo/food-dispensers.png@<Processed_Goods>When extensive preparation of meals is not an option, or gravity fields are not available, food dispensers offer an alternative to the local fast food joints for a surprisingly nutritious meal. Available in Soy and Beef flavor."
"Holographics","Holographics",480.5,0.01,1,"@cargo/holographics.png@<Microelectronics>Flatscreen holodisplays were a luxury, but have turned into a commodity with the demise of larger yet cost effective Cathode Light Field displays."
"Home_Appliances","Home_Appliances",80.5,0.01,1,"@cargo/home-appliances.png@<Processed_Goods>From the esoteric hover-masseuse to the ubiquitous InstaNuker, these are the champions of eternal consumerism."
"Home_Entertainment","Home_Entertainment",40.5,0.01,1,"@cargo/home-entertainment.png@<Microelectronics>Why live your dreams when you can watch actors and sports stars live theirs?  For when you want to be entertained without having to think."
"Medical_Equipment","Medical_Equipment",480.5,0.01,1,"@cargo/medical-equipment.png@<Microelectronics>While the contents have changed countless times, these kits can be found in every public transport and in every overprotective mother's travel bags."
"Mining_Equipment","Mining_Equipment",85.5,0.01,1,"@cargo/mining-equipment.png@<Capital_Goods>Laser drills and hyper-bores lay the foundation for drilling tools. Construction of mine shafts has never been so easy. Just let a few of these know where you want the tunnels, and come back a few days later to find huge mountains of gravel and said tunnels."
"Plastics","Plastics",35.5,0.01,1,"@cargo/plastics.png@<Raw_Materials>As nearly all human civilian products rely on hydrocarbon polymers, were there not a massive recycling program, humanity would have drowned under its own refuse."
"Pre_Fabs","Pre_Fabs",40.5,0.01,1,"@cargo/pre-fabs.png@<Processed_Goods>Unless one is absurdly wealthy, one lives in a building made out of modular components just like these."
"Robot_Servants","Robot_Servants",480.5,0.01,1,"@cargo/robot-servants.png@<Processed_Goods>Having the abilities of a simple-minded bodyservant and portable data storage unit, these machines are valued accessories for those too poor or too ethical to use human servants."
"Robot_Workers","Robot_Workers",285.5,0.01,1,"@cargo/robot-workers.png@<Capital_Goods>Tireless laborers that will attempt to do nearly anything you can convey to them as their task. Unfortunately, in order to keep costs down, their ability to understand exactly what it is you were trying to convey is somewhat limited."
"Software","Software",85.5,0.01,1,"@cargo/software.png@<Microelectronics>DeCSS: The ever so polite name for the class of codes used to attack various cryptosystems."
"Space_Salvage","Space_Salvage",185.5,0.01,1,"@cargo/space-salvage.png@<Capital_Goods>Parts from a recently damaged or destroyed vehicle can sometimes be exactly what a mechanic needs to fix a battered craft.  However more often than not, they merely require a recycling fee to dispose of."
"Textiles","Textiles",45.5,0.01,1,"@cargo/textiles.png@<Luxury_Goods>No matter how far technology has advanced, there will always be those who desire to the freedom to make their own kilt."
"Weaponry","Weaponry",285.5,0.01,1,"@cargo/weaponary.png@<Processed_Goods>While it may seem odd, given the loose nature of the laws governing what armaments may be placed on civilian ships, certain weapons, such as thermonuclear mortars, hunter-killer drones, and Anchadaen wrestling worms, are not allowed."
"Books","Books",45.5,0.01,1,"@cargo/books.png@<Luxury_Goods>While the manner of its conveyance has gone through countless alterations over untold millenniums, few things compare to a well crafted tale."
"PlayThing_(tm)","PlayThing_(tm)",18,0.01,1,"@cargo/plaything.png@<Luxury_Goods>If you have to ask, this terminal judges you too young to be told."
"Brilliance","Contraband/Brilliance",180.5,0.01,1,"@cargo/brilliance.png@<Contraband>Brilliance runners tend to make a killing off the Gemini system runs; of course, unless they are killed in the process."
"Slaves","Contraband/Slaves",650.5,0.01,1,"@cargo/slaves.png@<Contraband>Illegal due to fears of inter-species domination, among a plethora of other reasons, economic inefficiencies looming largest of all."
